date,state,number
1998/01/01 00:00:00,Acre,0
1999/01/01 00:00:00,Acre,0
2000/01/01 00:00:00,Acre,0
2001/01/01 00:00:00,Acre,0
2002/01/01 00:00:00,Acre,0
2003/01/01 00:00:00,Acre,10
2004/01/01 00:00:00,Acre,0
2005/01/01 00:00:00,Acre,12
2006/01/01 00:00:00,Acre,4
2007/01/01 00:00:00,Acre,0
2008/01/01 00:00:00,Acre,0
2009/01/01 00:00:00,Acre,0
2010/01/01 00:00:00,Acre,1
2011/01/01 00:00:00,Acre,0
2012/01/01 00:00:00,Acre,0
2013/01/01 00:00:00,Acre,0
2014/01/01 00:00:00,Acre,0
2015/01/01 00:00:00,Acre,1
2016/01/01 00:00:00,Acre,12
2017/01/01 00:00:00,Acre,0
1998/01/01 00:00:00,Acre,0
1999/01/01 00:00:00,Acre,0
2000/01/01 00:00:00,Acre,0
2001/01/01 00:00:00,Acre,0
2002/01/01 00:00:00,Acre,1
2003/01/01 00:00:00,Acre,0
2004/01/01 00:00:00,Acre,3
2005/01/01 00:00:00,Acre,0
2006/01/01 00:00:00,Acre,0
2007/01/01 00:00:00,Acre,5
2008/01/01 00:00:00,Acre,0
2009/01/01 00:00:00,Acre,2
2010/01/01 00:00:00,Acre,0
2011/01/01 00:00:00,Acre,0
2012/01/01 00:00:00,Acre,0
2013/01/01 00:00:00,Acre,0
2014/01/01 00:00:00,Acre,0
2015/01/01 00:00:00,Acre,2
2016/01/01 00:00:00,Acre,5
2017/01/01 00:00:00,Acre,1
1998/01/01 00:00:00,Acre,0
1999/01/01 00:00:00,Acre,0
2000/01/01 00:00:00,Acre,11
2001/01/01 00:00:00,Acre,0
2002/01/01 00:00:00,Acre,0
2003/01/01 00:00:00,Acre,0
2004/01/01 00:00:00,Acre,0
2005/01/01 00:00:00,Acre,3
2006/01/01 00:00:00,Acre,0
2007/01/01 00:00:00,Acre,2
2008/01/01 00:00:00,Acre,0
2009/01/01 00:00:00,Acre,1
2010/01/01 00:00:00,Acre,0
2011/01/01 00:00:00,Acre,0
2012/01/01 00:00:00,Acre,1
2013/01/01 00:00:00,Acre,2
2014/01/01 00:00:00,Acre,1
2015/01/01 00:00:00,Acre,2
2016/01/01 00:00:00,Acre,0
2017/01/01 00:00:00,Acre,0
1998/01/01 00:00:00,Acre,0
1999/01/01 00:00:00,Acre,0
2000/01/01 00:00:00,Acre,1
2001/01/01 00:00:00,Acre,0
2002/01/01 00:00:00,Acre,0
2003/01/01 00:00:00,Acre,1
2004/01/01 00:00:00,Acre,2
2005/01/01 00:00:00,Acre,1
2006/01/01 00:00:00,Acre,0
2007/01/01 00:00:00,Acre,0
2008/01/01 00:00:00,Acre,0
2009/01/01 00:00:00,Acre,0
2010/01/01 00:00:00,Acre,3
2011/01/01 00:00:00,Acre,2
2012/01/01 00:00:00,Acre,1
2013/01/01 00:00:00,Acre,19
2014/01/01 00:00:00,Acre,7
2015/01/01 00:00:00,Acre,3
2016/01/01 00:00:00,Acre,0
2017/01/01 00:00:00,Acre,1
1998/01/01 00:00:00,Acre,0
1999/01/01 00:00:00,Acre,0
2000/01/01 00:00:00,Acre,1
2001/01/01 00:00:00,Acre,0
2002/01/01 00:00:00,Acre,0
2003/01/01 00:00:00,Acre,6
2004/01/01 00:00:00,Acre,7
2005/01/01 00:00:00,Acre,2
2006/01/01 00:00:00,Acre,8
2007/01/01 00:00:00,Acre,1
2008/01/01 00:00:00,Acre,0
2009/01/01 00:00:00,Acre,3
2010/01/01 00:00:00,Acre,9
2011/01/01 00:00:00,Acre,3
2012/01/01 00:00:00,Acre,3
2013/01/01 00:00:00,Acre,4
2014/01/01 00:00:00,Acre,1
2015/01/01 00:00:00,Acre,2
2016/01/01 00:00:00,Acre,21
2017/01/01 00:00:00,Acre,10
1998/01/01 00:00:00,Acre,3
1999/01/01 00:00:00,Acre,0
2000/01/01 00:00:00,Acre,1
2001/01/01 00:00:00,Acre,1
2002/01/01 00:00:00,Acre,0
2003/01/01 00:00:00,Acre,0
2004/01/01 00:00:00,Acre,5
2005/01/01 00:00:00,Acre,27
2006/01/01 00:00:00,Acre,1
2007/01/01 00:00:00,Acre,4
2008/01/01 00:00:00,Acre,0
2009/01/01 00:00:00,Acre,0
2010/01/01 00:00:00,Acre,1
2011/01/01 00:00:00,Acre,10
2012/01/01 00:00:00,Acre,7
2013/01/01 00:00:00,Acre,8
2014/01/01 00:00:00,Acre,17
2015/01/01 00:00:00,Acre,40
2016/01/01 00:00:00,Acre,87
2017/01/01 00:00:00,Acre,45
1998/01/01 00:00:00,Acre,37
1999/01/01 00:00:00,Acre,1
2000/01/01 00:00:00,Acre,1
2001/01/01 00:00:00,Acre,3
2002/01/01 00:00:00,Acre,39
2003/01/01 00:00:00,Acre,168
2004/01/01 00:00:00,Acre,42
2005/01/01 00:00:00,Acre,368
2006/01/01 00:00:00,Acre,33
2007/01/01 00:00:00,Acre,29
2008/01/01 00:00:00,Acre,41
2009/01/01 00:00:00,Acre,31
2010/01/01 00:00:00,Acre,126
2011/01/01 00:00:00,Acre,93
2012/01/01 00:00:00,Acre,71
2013/01/01 00:00:00,Acre,54
2014/01/01 00:00:00,Acre,60
2015/01/01 00:00:00,Acre,109
2016/01/01 00:00:00,Acre,533
2017/01/01 00:00:00,Acre,457
1998/01/01 00:00:00,Acre,130
1999/01/01 00:00:00,Acre,63
2000/01/01 00:00:00,Acre,136
2001/01/01 00:00:00,Acre,396
2002/01/01 00:00:00,Acre,728
2003/01/01 00:00:00,Acre,1.976
2004/01/01 00:00:00,Acre,645
2005/01/01 00:00:00,Acre,4.198
2006/01/01 00:00:00,Acre,839
2007/01/01 00:00:00,Acre,960
2008/01/01 00:00:00,Acre,445
2009/01/01 00:00:00,Acre,194
2010/01/01 00:00:00,Acre,1.682
2011/01/01 00:00:00,Acre,425
2012/01/01 00:00:00,Acre,739
2013/01/01 00:00:00,Acre,679
2014/01/01 00:00:00,Acre,1.1
2015/01/01 00:00:00,Acre,1.397
2016/01/01 00:00:00,Acre,2.188
2017/01/01 00:00:00,Acre,1.493
1998/01/01 00:00:00,Acre,509
1999/01/01 00:00:00,Acre,209
2000/01/01 00:00:00,Acre,265
2001/01/01 00:00:00,Acre,290
2002/01/01 00:00:00,Acre,1.949
2003/01/01 00:00:00,Acre,3.942
2004/01/01 00:00:00,Acre,1.978
2005/01/01 00:00:00,Acre,4.253
2006/01/01 00:00:00,Acre,2.37
2007/01/01 00:00:00,Acre,2.08
2008/01/01 00:00:00,Acre,1.666
2009/01/01 00:00:00,Acre,1.265
2010/01/01 00:00:00,Acre,2.531
2011/01/01 00:00:00,Acre,1.204
2012/01/01 00:00:00,Acre,1.996
2013/01/01 00:00:00,Acre,2.136
2014/01/01 00:00:00,Acre,2.175
2015/01/01 00:00:00,Acre,2.928
2016/01/01 00:00:00,Acre,3.586
2017/01/01 00:00:00,Acre,3.429
1998/01/01 00:00:00,Acre,44
1999/01/01 00:00:00,Acre,60
2000/01/01 00:00:00,Acre,18
2001/01/01 00:00:00,Acre,137
2002/01/01 00:00:00,Acre,687
2003/01/01 00:00:00,Acre,740
2004/01/01 00:00:00,Acre,461
2005/01/01 00:00:00,Acre,547
2006/01/01 00:00:00,Acre,316
2007/01/01 00:00:00,Acre,203
2008/01/01 00:00:00,Acre,652
2009/01/01 00:00:00,Acre,565
2010/01/01 00:00:00,Acre,292
2011/01/01 00:00:00,Acre,97
2012/01/01 00:00:00,Acre,348
2013/01/01 00:00:00,Acre,258
2014/01/01 00:00:00,Acre,406
2015/01/01 00:00:00,Acre,905
2016/01/01 00:00:00,Acre,509
2017/01/01 00:00:00,Acre,1.508
1998/01/01 00:00:00,Acre,0
1999/01/01 00:00:00,Acre,0
2000/01/01 00:00:00,Acre,0
2001/01/01 00:00:00,Acre,1
2002/01/01 00:00:00,Acre,86
2003/01/01 00:00:00,Acre,15
2004/01/01 00:00:00,Acre,10
2005/01/01 00:00:00,Acre,14
2006/01/01 00:00:00,Acre,18
2007/01/01 00:00:00,Acre,7
2008/01/01 00:00:00,Acre,4
2009/01/01 00:00:00,Acre,33
2010/01/01 00:00:00,Acre,39
2011/01/01 00:00:00,Acre,74
2012/01/01 00:00:00,Acre,13
2013/01/01 00:00:00,Acre,79
2014/01/01 00:00:00,Acre,56
2015/01/01 00:00:00,Acre,115
2016/01/01 00:00:00,Acre,46
2017/01/01 00:00:00,Acre,98
1998/01/01 00:00:00,Acre,7
1999/01/01 00:00:00,Acre,0
2000/01/01 00:00:00,Acre,0
2001/01/01 00:00:00,Acre,0
2002/01/01 00:00:00,Acre,1
2003/01/01 00:00:00,Acre,1
2004/01/01 00:00:00,Acre,7
2005/01/01 00:00:00,Acre,2
2006/01/01 00:00:00,Acre,0
2007/01/01 00:00:00,Acre,0
2008/01/01 00:00:00,Acre,0
2009/01/01 00:00:00,Acre,1
2010/01/01 00:00:00,Acre,0
2011/01/01 00:00:00,Acre,4
2012/01/01 00:00:00,Acre,1
2013/01/01 00:00:00,Acre,3
2014/01/01 00:00:00,Acre,6
2015/01/01 00:00:00,Acre,8
2016/01/01 00:00:00,Acre,6
1998/01/01 00:00:00,Alagoas,0
1999/01/01 00:00:00,Alagoas,58
2000/01/01 00:00:00,Alagoas,11
2001/01/01 00:00:00,Alagoas,5
2002/01/01 00:00:00,Alagoas,12
2003/01/01 00:00:00,Alagoas,150
2004/01/01 00:00:00,Alagoas,9
2005/01/01 00:00:00,Alagoas,83
2006/01/01 00:00:00,Alagoas,29
2007/01/01 00:00:00,Alagoas,33
2008/01/01 00:00:00,Alagoas,55
2009/01/01 00:00:00,Alagoas,104
2010/01/01 00:00:00,Alagoas,23
2011/01/01 00:00:00,Alagoas,41
2012/01/01 00:00:00,Alagoas,36
2013/01/01 00:00:00,Alagoas,49
2014/01/01 00:00:00,Alagoas,54
2015/01/01 00:00:00,Alagoas,81
2016/01/01 00:00:00,Alagoas,24
2017/01/01 00:00:00,Alagoas,38
2017/01/01 00:00:00,Alagoas,38
1998/01/01 00:00:00,Alagoas,0
1999/01/01 00:00:00,Alagoas,20
2000/01/01 00:00:00,Alagoas,16
2001/01/01 00:00:00,Alagoas,4
2002/01/01 00:00:00,Alagoas,15
2003/01/01 00:00:00,Alagoas,33
2004/01/01 00:00:00,Alagoas,7
2005/01/01 00:00:00,Alagoas,31
2006/01/01 00:00:00,Alagoas,14
2007/01/01 00:00:00,Alagoas,28
2008/01/01 00:00:00,Alagoas,74
2009/01/01 00:00:00,Alagoas,32
2010/01/01 00:00:00,Alagoas,26
2011/01/01 00:00:00,Alagoas,33
2012/01/01 00:00:00,Alagoas,41
2013/01/01 00:00:00,Alagoas,19
2014/01/01 00:00:00,Alagoas,29
2015/01/01 00:00:00,Alagoas,46
2016/01/01 00:00:00,Alagoas,14
2017/01/01 00:00:00,Alagoas,21
1998/01/01 00:00:00,Alagoas,0
1999/01/01 00:00:00,Alagoas,52
2000/01/01 00:00:00,Alagoas,32
2001/01/01 00:00:00,Alagoas,0
2002/01/01 00:00:00,Alagoas,27
2003/01/01 00:00:00,Alagoas,15
2004/01/01 00:00:00,Alagoas,16
2005/01/01 00:00:00,Alagoas,35
2006/01/01 00:00:00,Alagoas,37
2007/01/01 00:00:00,Alagoas,7
2008/01/01 00:00:00,Alagoas,31
2009/01/01 00:00:00,Alagoas,31
2010/01/01 00:00:00,Alagoas,70
2011/01/01 00:00:00,Alagoas,34
2012/01/01 00:00:00,Alagoas,44
2013/01/01 00:00:00,Alagoas,31
2014/01/01 00:00:00,Alagoas,28
2015/01/01 00:00:00,Alagoas,32
2016/01/01 00:00:00,Alagoas,9
2017/01/01 00:00:00,Alagoas,23
1998/01/01 00:00:00,Alagoas,0
1999/01/01 00:00:00,Alagoas,4
2000/01/01 00:00:00,Alagoas,20
2001/01/01 00:00:00,Alagoas,0
2002/01/01 00:00:00,Alagoas,6
2003/01/01 00:00:00,Alagoas,20
2004/01/01 00:00:00,Alagoas,6
2005/01/01 00:00:00,Alagoas,1
2006/01/01 00:00:00,Alagoas,2
2007/01/01 00:00:00,Alagoas,1
2008/01/01 00:00:00,Alagoas,18
2009/01/01 00:00:00,Alagoas,5
2010/01/01 00:00:00,Alagoas,3
2011/01/01 00:00:00,Alagoas,17
2012/01/01 00:00:00,Alagoas,18
2013/01/01 00:00:00,Alagoas,25
2014/01/01 00:00:00,Alagoas,16
2015/01/01 00:00:00,Alagoas,63
2016/01/01 00:00:00,Alagoas,13
2017/01/01 00:00:00,Alagoas,7
1998/01/01 00:00:00,Alagoas,0
1999/01/01 00:00:00,Alagoas,1
2000/01/01 00:00:00,Alagoas,1
2001/01/01 00:00:00,Alagoas,2
2002/01/01 00:00:00,Alagoas,1
2003/01/01 00:00:00,Alagoas,1
2004/01/01 00:00:00,Alagoas,3
2005/01/01 00:00:00,Alagoas,0
2006/01/01 00:00:00,Alagoas,0
2007/01/01 00:00:00,Alagoas,0
2008/01/01 00:00:00,Alagoas,0
2009/01/01 00:00:00,Alagoas,0
2010/01/01 00:00:00,Alagoas,0
2011/01/01 00:00:00,Alagoas,0
2012/01/01 00:00:00,Alagoas,21
2013/01/01 00:00:00,Alagoas,2
2014/01/01 00:00:00,Alagoas,1
2015/01/01 00:00:00,Alagoas,18
2016/01/01 00:00:00,Alagoas,4
2017/01/01 00:00:00,Alagoas,1
1998/01/01 00:00:00,Alagoas,0
1999/01/01 00:00:00,Alagoas,0
2000/01/01 00:00:00,Alagoas,0
2001/01/01 00:00:00,Alagoas,2
2002/01/01 00:00:00,Alagoas,0
2003/01/01 00:00:00,Alagoas,0
2004/01/01 00:00:00,Alagoas,0
2005/01/01 00:00:00,Alagoas,0
2006/01/01 00:00:00,Alagoas,0
2007/01/01 00:00:00,Alagoas,0
2008/01/01 00:00:00,Alagoas,0
2009/01/01 00:00:00,Alagoas,0
2010/01/01 00:00:00,Alagoas,0
2011/01/01 00:00:00,Alagoas,2
2012/01/01 00:00:00,Alagoas,4
2013/01/01 00:00:00,Alagoas,1
2014/01/01 00:00:00,Alagoas,2
2015/01/01 00:00:00,Alagoas,2
2016/01/01 00:00:00,Alagoas,5
2017/01/01 00:00:00,Alagoas,2
1998/01/01 00:00:00,Alagoas,0
1999/01/01 00:00:00,Alagoas,0
2000/01/01 00:00:00,Alagoas,0
2001/01/01 00:00:00,Alagoas,0
2002/01/01 00:00:00,Alagoas,5
2003/01/01 00:00:00,Alagoas,0
2004/01/01 00:00:00,Alagoas,0
2005/01/01 00:00:00,Alagoas,0
2006/01/01 00:00:00,Alagoas,0
2007/01/01 00:00:00,Alagoas,0
2008/01/01 00:00:00,Alagoas,0
2009/01/01 00:00:00,Alagoas,0
2010/01/01 00:00:00,Alagoas,2
2011/01/01 00:00:00,Alagoas,0
2012/01/01 00:00:00,Alagoas,0
2013/01/01 00:00:00,Alagoas,0
2014/01/01 00:00:00,Alagoas,1
2015/01/01 00:00:00,Alagoas,0
2016/01/01 00:00:00,Alagoas,3
2017/01/01 00:00:00,Alagoas,0
1998/01/01 00:00:00,Alagoas,1
1999/01/01 00:00:00,Alagoas,3
2000/01/01 00:00:00,Alagoas,4
2001/01/01 00:00:00,Alagoas,1
2002/01/01 00:00:00,Alagoas,3
